title,link,price,image_link,description,,Price in DKK,Price in CHF,Price in GBP,Price in AUD,Price in SED,Price in USD,Price in SGD,Price in EUR,Price in CAD,,,,material,Sleeves,Color,,,,,,,,,,availability,Necks
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-515,448,https://img.sonofatailor.com/images/customizer/product/JuneBlue_O_Crew_Regular_NoPocket-0852f735-e833-4654-bac4-45b96053b0a6.jpg,"Short Sleeve T-Shirt, June Blue, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,June Blue,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-636,448,https://img.sonofatailor.com/images/customizer/product/Oat_O_Crew_Regular_NoPocket-ce1f69a5-4bce-4fd2-9384-fe5ee9913934.jpg,"Short Sleeve T-Shirt, Oat, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Oat,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-637,448,https://img.sonofatailor.com/images/customizer/product/Oat_O_Crew_Regular_NoPocket-b9431f76-b13e-456d-9fea-8db9e0462c42.jpg,"Short Sleeve T-Shirt, Oat, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Oat,,,,,,,,,,out of stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-657,448,https://img.sonofatailor.com/images/customizer/product/Eventide_O_Crew_Regular_NoPocket-b0923ab8-2235-4366-a7c3-4c49245b3bda.jpg,"Short Sleeve T-Shirt, Eventide, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Eventide,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-658,448,https://img.sonofatailor.com/images/customizer/product/Eventide_O_Crew_Regular_NoPocket-f6e46a4a-8ea7-4225-8ed4-d5849c5eab34.jpg,"Short Sleeve T-Shirt, Eventide, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Eventide,,,,,,,,,,out of stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-659,448,https://img.sonofatailor.com/images/customizer/product/Cider_O_Crew_Regular_NoPocket-c2015331-10c9-4b30-b13d-d0245a004c24.jpg,"Short Sleeve T-Shirt, Cider, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Cider,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-660,448,https://img.sonofatailor.com/images/customizer/product/Cider_O_Crew_Regular_NoPocket-7c9dabd4-28ce-4736-9269-95ef4740a569.jpg,"Short Sleeve T-Shirt, Cider, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Cider,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-665,448,https://img.sonofatailor.com/images/customizer/product/PaleLavender_O_Crew_Regular_NoPocket-973052f3-e26e-471b-a767-a714386433f2.jpg,"Short Sleeve T-Shirt, Pale Lavender, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Pale Lavender,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-666,448,https://img.sonofatailor.com/images/customizer/product/PaleLavender_O_Crew_Regular_NoPocket-73015611-c892-4f76-ab59-d9862ef9e7ea.jpg,"Short Sleeve T-Shirt, Pale Lavender, 150 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,150 g/m2 100% Supima Cotton,Regular,Pale Lavender,,,,,,,,,,in stock,O-Neck Crew
Cotton T-Shirt,https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-720,448,https://img.sonofatailor.com/images/customizer/product/Masala_O_Crew_Regular_NoPocket-c488c756-73f4-4380-b6d1-4878a0f34536.jpg,"Short Sleeve T-Shirt, Masala, 200 g/m2 100% Supima Cotton",,448,65,55,99,695,64,88,59,88,,,,200 g/m2 100% Supima Cotton,Regular,Masala,,,,,,,,,,out of stock,O-Neck Crew
